                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4949,                 3.2754,                 2.6234,                 1.4195,                0.77855,                0.11578,                0.15467,                0.08046,                0.79264,                0.08779,                0.14097,                0.06775,                 1.6074,                 3.1145,                 3.5217,                 1.6008,             0.00046998,             0.00046998,             0.00046998
                      2,                 1.4421,                 2.8378,                 1.8903,                 1.3504,                0.71682,                0.16031,                 0.1625,                 0.0904,                0.71148,                0.16412,                 0.1633,                0.08797,                 1.5526,                 2.9339,                 4.2939,                  1.709,             0.00092758,             0.00092758,             0.00092758
                      3,                 1.4563,                 2.8306,                 1.8169,                 1.3842,                0.76267,                0.22901,                0.22126,                0.12334,                 0.7718,                0.23664,                0.22204,                0.11378,                 1.5682,                  3.007,                 2.3728,                 1.5281,              0.0013663,              0.0013663,              0.0013663
                      4,                 1.4615,                 2.8485,                 1.7432,                 1.3729,                 0.6762,                 0.1743,                0.13947,                0.06304,                0.66991,                0.17812,                 0.1399,                0.07041,                 1.8418,                 3.0683,                 3.4045,                 1.8574,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.4083,                 2.7607,                 1.6301,                 1.3376,                 0.7606,                0.21247,                0.24813,                 0.1403,                0.77941,                0.20229,                0.25291,                0.14855,                 1.5986,                 2.7087,                 2.1129,                 1.5368,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.3775,                 2.7271,                 1.5404,                 1.3133,                0.78158,                0.22646,                0.23357,                0.13128,                0.78066,                0.22901,                0.23716,                0.12678,                  1.526,                 2.5865,                 1.9994,                  1.469,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.3432,                 2.6068,                 1.4998,                 1.2977,                0.78645,                0.24936,                0.25117,                 0.1433,                0.79897,                0.24809,                 0.2565,                0.14397,                 1.4823,                 2.5957,                 2.2116,                 1.4576,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.3589,                 2.5955,                 1.4875,                 1.2997,                0.77844,                0.26336,                0.26405,                0.15794,                0.76804,                0.27226,                0.25773,                0.15158,                 1.4297,                 2.4594,                 1.8991,                  1.374,              0.0012592,              0.0012592,              0.0012592
                      9,                  1.332,                 2.5701,                 1.4558,                 1.2832,                0.83202,                0.28753,                0.29557,                0.17808,                0.83037,                0.28247,                0.29318,                 0.1771,                 1.3895,                 2.5235,                 1.6959,                 1.3865,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.3003,                 2.4873,                 1.3919,                 1.2719,                0.80876,                0.27608,                0.28385,                0.16764,                 0.8008,                0.29202,                0.28964,                  0.172,                 1.4269,                 2.3655,                  1.695,                 1.4202,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.2857,                 2.5005,                 1.3644,                 1.2518,                0.83529,                0.26463,                 0.2974,                0.17635,                0.84427,                0.26209,                0.30207,                0.17838,                 1.4324,                  2.375,                 1.6812,                 1.4173,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.2664,                 2.4713,                 1.3462,                 1.2489,                0.86832,                 0.2888,                0.31781,                0.18423,                 0.8667,                0.28626,                0.31608,                0.18351,                 1.3817,                 2.3719,                 1.5903,                 1.3859,              0.0011461,              0.0011461,              0.0011461
                     13,                 1.2538,                 2.4475,                 1.3402,                 1.2406,                 0.8126,                0.29008,                0.30047,                0.17989,                0.81431,                0.29135,                0.29864,                0.17857,                 1.3942,                 2.3844,                 1.7156,                  1.373,              0.0011178,              0.0011178,              0.0011178
                     14,                 1.2119,                 2.3636,                 1.2653,                 1.2158,                0.83112,                0.28499,                0.30125,                 0.1764,                0.84154,                0.27481,                0.30315,                0.18257,                 1.3837,                 2.3278,                 1.6124,                  1.357,              0.0010895,              0.0010895,              0.0010895
                     15,                 1.2232,                 2.3815,                 1.2546,                 1.2353,                0.85139,                0.29483,                0.44068,                0.27581,                0.85885,                0.29898,                0.44379,                0.26841,                  1.323,                 2.3771,                  1.432,                 1.3351,              0.0010612,              0.0010612,              0.0010612
